Age,Time_of_Day,AQI,AQI_Category,Temperature,Precipitation,Suggested_Activity,Activity_Suggestion
88,9,65,Moderate,75.2,1.65,Take a walk,Enjoy a peaceful walk in the park.
82,18,40,Good,51.8,3.27,Take a walk,Enjoy a peaceful walk in the park.
30,17,88,Moderate,59.0,0.16,Go for a jog,The weather is perfect for a run or jog.
35,18,9,Good,50.0,0.97,Go for a jog,The weather is perfect for a run or jog.
7,0,8,Good,35.6,6.93,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
33,17,32,Good,57.2,4.36,Go for a jog,The weather is perfect for a run or jog.
53,9,163,Unhealthy,59.0,3.5,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
62,9,70,Moderate,60.8,1.12,Take a walk,Enjoy a peaceful walk in the park.
10,14,389,Hazardous,98.6,5.56,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
31,9,1,Good,77.0,2.28,Go for a jog,The weather is perfect for a run or jog.
78,10,286,Very Unhealthy,28.4,9.75,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
24,12,3,Good,60.8,4.62,Have a picnic,The weather is great for an outdoor picnic.
96,13,18,Good,51.8,3.79,Have a picnic,The weather is great for an outdoor picnic.
40,6,82,Moderate,21.2,5.39,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
87,12,39,Good,82.4,0.53,Have a picnic,The weather is great for an outdoor picnic.
14,8,22,Good,82.4,2.17,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
39,20,85,Moderate,50.0,4.57,Stargazing,"The air is clear, perfect for stargazing."
7,0,28,Good,39.2,8.95,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
93,13,72,Moderate,64.4,4.72,Have a picnic,The weather is great for an outdoor picnic.
17,13,25,Good,64.4,4.78,Have a picnic,The weather is great for an outdoor picnic.
67,9,60,Moderate,77.0,2.28,Take a walk,Enjoy a peaceful walk in the park.
19,21,336,Hazardous,87.8,10.54,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
11,1,252,Very Unhealthy,50.0,12.44,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
39,9,13,Good,62.6,0.19,Go for a jog,The weather is perfect for a run or jog.
30,19,86,Moderate,82.4,2.52,Stargazing,"The air is clear, perfect for stargazing."
96,9,9,Good,68.0,2.87,Take a walk,Enjoy a peaceful walk in the park.
96,17,55,Moderate,66.2,1.03,Take a walk,Enjoy a peaceful walk in the park.
88,11,113,Unhealthy for Sensitive Groups,23.0,12.44,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
96,14,3,Good,59.0,0.36,Have a picnic,The weather is great for an outdoor picnic.
68,9,13,Good,80.6,4.2,Take a walk,Enjoy a peaceful walk in the park.
96,19,408,Hazardous,98.6,19.51,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
56,16,33,Good,73.4,2.49,Go for a jog,The weather is perfect for a run or jog.
29,16,3,Good,80.6,1.12,Go for a jog,The weather is perfect for a run or jog.
97,19,402,Hazardous,93.2,7.74,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
9,6,208,Very Unhealthy,32.0,16.19,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
82,4,41,Good,68.0,17.63,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
81,19,14,Good,53.6,2.76,Stargazing,"The air is clear, perfect for stargazing."
21,21,92,Moderate,84.2,4.85,Stargazing,"The air is clear, perfect for stargazing."
21,2,203,Very Unhealthy,37.4,0.94,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
96,23,55,Moderate,73.4,4.23,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
36,9,318,Hazardous,59.0,11.04,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
42,17,72,Moderate,57.2,2.56,Go for a jog,The weather is perfect for a run or jog.
75,13,55,Moderate,73.4,1.07,Have a picnic,The weather is great for an outdoor picnic.
53,18,65,Moderate,69.8,4.08,Go for a jog,The weather is perfect for a run or jog.
16,13,492,Hazardous,87.8,17.93,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
34,1,118,Unhealthy for Sensitive Groups,95.0,6.82,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
51,19,56,Moderate,64.4,0.34,Stargazing,"The air is clear, perfect for stargazing."
78,14,38,Good,86.0,14.3,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
70,7,356,Hazardous,50.0,17.52,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
49,18,97,Moderate,82.4,4.63,Go for a jog,The weather is perfect for a run or jog.
11,17,17,Good,80.6,1.23,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
81,16,83,Moderate,51.8,1.88,Take a walk,Enjoy a peaceful walk in the park.
66,18,64,Moderate,71.6,3.89,Take a walk,Enjoy a peaceful walk in the park.
59,11,427,Hazardous,93.2,10.0,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
40,19,57,Moderate,55.4,0.29,Stargazing,"The air is clear, perfect for stargazing."
78,19,74,Moderate,62.6,4.59,Stargazing,"The air is clear, perfect for stargazing."
43,12,47,Good,84.2,1.78,Have a picnic,The weather is great for an outdoor picnic.
43,5,246,Very Unhealthy,51.8,17.93,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
80,10,46,Good,68.0,4.22,Take a walk,Enjoy a peaceful walk in the park.
30,17,61,Moderate,60.8,3.03,Go for a jog,The weather is perfect for a run or jog.
99,6,216,Very Unhealthy,35.6,16.25,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
45,19,85,Moderate,46.4,4.82,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
62,18,35,Good,60.8,2.24,Take a walk,Enjoy a peaceful walk in the park.
51,9,42,Good,53.6,3.03,Go for a jog,The weather is perfect for a run or jog.
54,17,90,Moderate,75.2,0.65,Go for a jog,The weather is perfect for a run or jog.
28,12,90,Moderate,69.8,0.97,Have a picnic,The weather is great for an outdoor picnic.
19,17,75,Moderate,62.6,2.3,Go for a jog,The weather is perfect for a run or jog.
57,18,64,Moderate,75.2,0.15,Go for a jog,The weather is perfect for a run or jog.
48,8,15,Good,62.6,3.39,Go for a jog,The weather is perfect for a run or jog.
39,12,142,Unhealthy for Sensitive Groups,39.2,19.11,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
92,8,76,Moderate,84.2,1.62,Take a walk,Enjoy a peaceful walk in the park.
15,12,47,Good,59.0,4.41,Have a picnic,The weather is great for an outdoor picnic.
99,17,143,Unhealthy for Sensitive Groups,96.8,12.09,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
64,12,62,Moderate,78.8,2.35,Have a picnic,The weather is great for an outdoor picnic.
37,9,80,Moderate,55.4,1.74,Go for a jog,The weather is perfect for a run or jog.
5,13,8,Good,66.2,2.41,Have a picnic,The weather is great for an outdoor picnic.
54,9,61,Moderate,62.6,4.93,Go for a jog,The weather is perfect for a run or jog.
40,8,28,Good,78.8,1.49,Go for a jog,The weather is perfect for a run or jog.
79,21,90,Moderate,84.2,0.39,Stargazing,"The air is clear, perfect for stargazing."
6,12,73,Moderate,62.6,3.93,Have a picnic,The weather is great for an outdoor picnic.
59,9,37,Good,71.6,0.67,Go for a jog,The weather is perfect for a run or jog.
19,10,269,Very Unhealthy,33.8,8.56,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
24,9,2,Good,57.2,3.48,Go for a jog,The weather is perfect for a run or jog.
91,16,211,Very Unhealthy,21.2,17.04,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
94,13,56,Moderate,51.8,2.06,Have a picnic,The weather is great for an outdoor picnic.
46,21,496,Hazardous,60.8,16.08,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
71,19,241,Very Unhealthy,100.4,11.97,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
80,20,84,Moderate,53.6,4.7,Stargazing,"The air is clear, perfect for stargazing."
35,16,80,Moderate,78.8,2.03,Go for a jog,The weather is perfect for a run or jog.
91,9,16,Good,60.8,3.07,Take a walk,Enjoy a peaceful walk in the park.
97,8,74,Moderate,57.2,2.45,Take a walk,Enjoy a peaceful walk in the park.
35,17,79,Moderate,30.2,11.67,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
41,19,24,Good,75.2,3.48,Stargazing,"The air is clear, perfect for stargazing."
99,16,75,Moderate,66.2,4.43,Take a walk,Enjoy a peaceful walk in the park.
56,9,35,Good,53.6,2.89,Go for a jog,The weather is perfect for a run or jog.
77,6,467,Hazardous,14.0,11.0,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
29,13,93,Moderate,66.2,3.14,Have a picnic,The weather is great for an outdoor picnic.
53,13,75,Moderate,64.4,3.08,Have a picnic,The weather is great for an outdoor picnic.
19,17,2,Good,57.2,3.94,Go for a jog,The weather is perfect for a run or jog.
38,10,44,Good,68.0,1.55,Go for a jog,The weather is perfect for a run or jog.
98,18,56,Moderate,78.8,4.54,Take a walk,Enjoy a peaceful walk in the park.
49,21,8,Good,75.2,2.72,Stargazing,"The air is clear, perfect for stargazing."
43,16,63,Moderate,80.6,0.65,Go for a jog,The weather is perfect for a run or jog.
8,20,27,Good,82.4,4.5,Stargazing,"The air is clear, perfect for stargazing."
64,22,133,Unhealthy for Sensitive Groups,96.8,2.73,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
31,4,256,Very Unhealthy,24.8,16.84,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
80,8,64,Moderate,80.6,1.16,Take a walk,Enjoy a peaceful walk in the park.
93,16,259,Very Unhealthy,75.2,13.86,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
18,11,454,Hazardous,96.8,13.05,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
98,4,141,Unhealthy for Sensitive Groups,35.6,1.42,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
86,5,301,Hazardous,41.0,19.17,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
44,21,99,Moderate,73.4,0.39,Stargazing,"The air is clear, perfect for stargazing."
52,13,31,Good,73.4,2.37,Have a picnic,The weather is great for an outdoor picnic.
80,10,38,Good,64.4,1.9,Take a walk,Enjoy a peaceful walk in the park.
76,10,198,Unhealthy,57.2,14.46,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
97,10,107,Unhealthy for Sensitive Groups,59.0,1.48,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
58,10,45,Good,64.4,1.62,Go for a jog,The weather is perfect for a run or jog.
14,19,44,Good,78.8,1.28,Stargazing,"The air is clear, perfect for stargazing."
8,21,373,Hazardous,60.8,18.75,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
46,19,33,Good,68.0,2.41,Stargazing,"The air is clear, perfect for stargazing."
37,7,269,Very Unhealthy,57.2,16.75,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
72,23,262,Very Unhealthy,84.2,11.9,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
91,10,57,Moderate,51.8,2.15,Take a walk,Enjoy a peaceful walk in the park.
37,10,42,Good,68.0,1.18,Go for a jog,The weather is perfect for a run or jog.
9,8,41,Good,57.2,2.47,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
46,16,107,Unhealthy for Sensitive Groups,39.2,0.66,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
50,19,74,Moderate,57.2,4.79,Stargazing,"The air is clear, perfect for stargazing."
22,9,90,Moderate,66.2,3.93,Go for a jog,The weather is perfect for a run or jog.
81,10,82,Moderate,91.4,10.62,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
6,11,121,Unhealthy for Sensitive Groups,46.4,3.21,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
78,3,461,Hazardous,53.6,14.57,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
91,10,96,Moderate,78.8,0.16,Take a walk,Enjoy a peaceful walk in the park.
35,10,2,Good,66.2,3.11,Go for a jog,The weather is perfect for a run or jog.
14,18,33,Good,75.2,2.09,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
28,16,13,Good,60.8,2.77,Go for a jog,The weather is perfect for a run or jog.
82,6,26,Good,66.2,5.39,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
40,16,1,Good,59.0,3.75,Go for a jog,The weather is perfect for a run or jog.
49,21,19,Good,62.6,3.06,Stargazing,"The air is clear, perfect for stargazing."
80,16,215,Very Unhealthy,95.0,5.6,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
36,19,139,Unhealthy for Sensitive Groups,91.4,0.05,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
16,8,11,Good,66.2,4.09,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
42,18,62,Moderate,75.2,1.31,Go for a jog,The weather is perfect for a run or jog.
54,18,55,Moderate,62.6,0.3,Go for a jog,The weather is perfect for a run or jog.
40,17,79,Moderate,71.6,1.82,Go for a jog,The weather is perfect for a run or jog.
40,20,39,Good,68.0,1.08,Stargazing,"The air is clear, perfect for stargazing."
14,13,12,Good,50.0,3.36,Have a picnic,The weather is great for an outdoor picnic.
31,21,476,Hazardous,89.6,18.75,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
82,12,51,Moderate,77.0,2.47,Have a picnic,The weather is great for an outdoor picnic.
58,4,133,Unhealthy for Sensitive Groups,84.2,7.81,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
84,5,276,Very Unhealthy,93.2,14.35,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
68,8,9,Good,55.4,2.96,Take a walk,Enjoy a peaceful walk in the park.
40,17,47,Good,80.6,2.96,Go for a jog,The weather is perfect for a run or jog.
23,8,14,Good,51.8,3.03,Go for a jog,The weather is perfect for a run or jog.
32,5,458,Hazardous,48.2,14.03,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
77,9,474,Hazardous,19.4,7.52,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
78,21,33,Good,53.6,2.86,Stargazing,"The air is clear, perfect for stargazing."
52,13,304,Hazardous,98.6,10.82,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
59,1,246,Very Unhealthy,26.6,9.91,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
90,16,80,Moderate,64.4,2.91,Take a walk,Enjoy a peaceful walk in the park.
26,8,355,Hazardous,55.4,11.82,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
92,8,64,Moderate,59.0,4.51,Take a walk,Enjoy a peaceful walk in the park.
35,4,161,Unhealthy,24.8,9.01,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
62,12,32,Good,62.6,2.56,Have a picnic,The weather is great for an outdoor picnic.
71,12,29,Good,78.8,3.57,Have a picnic,The weather is great for an outdoor picnic.
85,19,90,Moderate,62.6,1.89,Stargazing,"The air is clear, perfect for stargazing."
58,19,0,Good,69.8,2.26,Stargazing,"The air is clear, perfect for stargazing."
37,20,31,Good,78.8,0.67,Stargazing,"The air is clear, perfect for stargazing."
99,9,69,Moderate,82.4,4.36,Take a walk,Enjoy a peaceful walk in the park.
17,14,61,Moderate,66.2,17.82,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
54,17,93,Moderate,53.6,2.73,Go for a jog,The weather is perfect for a run or jog.
28,18,370,Hazardous,33.8,17.27,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
99,9,103,Unhealthy for Sensitive Groups,37.4,1.95,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
34,14,361,Hazardous,30.2,4.48,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
7,14,18,Good,60.8,4.31,Have a picnic,The weather is great for an outdoor picnic.
29,16,96,Moderate,66.2,0.44,Go for a jog,The weather is perfect for a run or jog.
63,13,360,Hazardous,21.2,15.05,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
66,17,71,Moderate,71.6,3.51,Take a walk,Enjoy a peaceful walk in the park.
76,17,54,Moderate,60.8,0.74,Take a walk,Enjoy a peaceful walk in the park.
71,8,412,Hazardous,71.6,13.72,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
25,17,94,Moderate,84.2,1.16,Go for a jog,The weather is perfect for a run or jog.
9,15,202,Very Unhealthy,80.6,4.14,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
13,18,76,Moderate,66.2,1.74,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
47,12,48,Good,73.4,3.04,Have a picnic,The weather is great for an outdoor picnic.
30,13,42,Good,59.0,4.13,Have a picnic,The weather is great for an outdoor picnic.
7,20,55,Moderate,80.6,0.16,Stargazing,"The air is clear, perfect for stargazing."
33,16,213,Very Unhealthy,32.0,9.42,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
43,9,89,Moderate,84.2,3.51,Go for a jog,The weather is perfect for a run or jog.
40,13,42,Good,68.0,1.04,Have a picnic,The weather is great for an outdoor picnic.
74,21,48,Good,78.8,0.77,Stargazing,"The air is clear, perfect for stargazing."
63,3,192,Unhealthy,51.8,6.92,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
82,18,308,Hazardous,71.6,2.47,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
89,8,56,Moderate,60.8,2.71,Take a walk,Enjoy a peaceful walk in the park.
17,8,45,Good,84.2,2.01,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
56,22,219,Very Unhealthy,59.0,9.91,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
9,8,77,Moderate,69.8,4.78,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
48,5,332,Hazardous,93.2,17.29,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
86,17,69,Moderate,73.4,1.87,Take a walk,Enjoy a peaceful walk in the park.
34,19,43,Good,75.2,2.23,Stargazing,"The air is clear, perfect for stargazing."
33,20,6,Good,57.2,0.02,Stargazing,"The air is clear, perfect for stargazing."
8,9,60,Moderate,55.4,5.0,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
36,14,166,Unhealthy,102.2,2.41,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
23,19,99,Moderate,64.4,2.37,Stargazing,"The air is clear, perfect for stargazing."
58,9,17,Good,55.4,0.94,Go for a jog,The weather is perfect for a run or jog.
90,4,189,Unhealthy,98.6,4.0,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
26,16,72,Moderate,55.4,3.14,Go for a jog,The weather is perfect for a run or jog.
97,13,47,Good,82.4,4.01,Have a picnic,The weather is great for an outdoor picnic.
74,1,479,Hazardous,95.0,8.22,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
25,7,402,Hazardous,73.4,1.78,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
49,14,147,Unhealthy for Sensitive Groups,14.0,7.23,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
40,18,350,Hazardous,71.6,14.42,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
34,16,5,Good,55.4,1.21,Go for a jog,The weather is perfect for a run or jog.
36,14,82,Moderate,73.4,1.87,Have a picnic,The weather is great for an outdoor picnic.
61,23,417,Hazardous,59.0,10.1,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
73,18,31,Good,75.2,4.4,Take a walk,Enjoy a peaceful walk in the park.
54,16,22,Good,71.6,4.91,Go for a jog,The weather is perfect for a run or jog.
50,14,44,Good,60.8,2.23,Have a picnic,The weather is great for an outdoor picnic.
77,21,42,Good,60.8,0.22,Stargazing,"The air is clear, perfect for stargazing."
84,13,88,Moderate,62.6,4.73,Have a picnic,The weather is great for an outdoor picnic.
89,20,58,Moderate,64.4,4.32,Stargazing,"The air is clear, perfect for stargazing."
91,20,10,Good,68.0,3.44,Stargazing,"The air is clear, perfect for stargazing."
13,18,56,Moderate,64.4,2.8,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
79,14,87,Moderate,80.6,4.96,Have a picnic,The weather is great for an outdoor picnic.
81,16,175,Unhealthy,84.2,2.19,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
47,1,430,Hazardous,35.6,8.97,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
64,9,68,Moderate,71.6,0.18,Take a walk,Enjoy a peaceful walk in the park.
58,13,40,Good,80.6,1.77,Have a picnic,The weather is great for an outdoor picnic.
86,13,50,Good,77.0,1.2,Have a picnic,The weather is great for an outdoor picnic.
36,2,443,Hazardous,87.8,0.71,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
70,21,19,Good,73.4,2.55,Stargazing,"The air is clear, perfect for stargazing."
52,16,34,Good,82.4,3.26,Go for a jog,The weather is perfect for a run or jog.
73,13,51,Moderate,59.0,1.08,Have a picnic,The weather is great for an outdoor picnic.
19,8,96,Moderate,73.4,2.47,Go for a jog,The weather is perfect for a run or jog.
47,18,51,Moderate,80.6,3.74,Go for a jog,The weather is perfect for a run or jog.
41,21,43,Good,53.6,2.75,Stargazing,"The air is clear, perfect for stargazing."
90,16,129,Unhealthy for Sensitive Groups,26.6,13.94,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
61,10,411,Hazardous,35.6,0.79,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
56,18,9,Good,59.0,4.07,Go for a jog,The weather is perfect for a run or jog.
22,17,45,Good,59.0,2.09,Go for a jog,The weather is perfect for a run or jog.
75,18,61,Moderate,80.6,4.4,Take a walk,Enjoy a peaceful walk in the park.
84,14,57,Moderate,55.4,4.2,Have a picnic,The weather is great for an outdoor picnic.
51,19,38,Good,75.2,3.55,Stargazing,"The air is clear, perfect for stargazing."
19,20,81,Moderate,50.0,2.75,Stargazing,"The air is clear, perfect for stargazing."
96,12,92,Moderate,84.2,1.88,Have a picnic,The weather is great for an outdoor picnic.
38,8,83,Moderate,62.6,2.47,Go for a jog,The weather is perfect for a run or jog.
35,10,99,Moderate,57.2,2.38,Go for a jog,The weather is perfect for a run or jog.
74,14,63,Moderate,62.6,3.42,Have a picnic,The weather is great for an outdoor picnic.
60,15,380,Hazardous,100.4,3.75,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
54,20,25,Good,66.2,4.0,Stargazing,"The air is clear, perfect for stargazing."
31,16,16,Good,60.8,2.98,Go for a jog,The weather is perfect for a run or jog.
58,9,96,Moderate,51.8,4.77,Go for a jog,The weather is perfect for a run or jog.
19,7,38,Good,66.2,14.98,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
86,12,51,Moderate,84.2,0.0,Have a picnic,The weather is great for an outdoor picnic.
93,10,96,Moderate,75.2,2.19,Take a walk,Enjoy a peaceful walk in the park.
28,10,276,Very Unhealthy,42.8,14.44,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
66,9,30,Good,64.4,2.9,Take a walk,Enjoy a peaceful walk in the park.
16,19,81,Moderate,69.8,0.28,Stargazing,"The air is clear, perfect for stargazing."
91,9,88,Moderate,64.4,0.78,Take a walk,Enjoy a peaceful walk in the park.
62,19,34,Good,53.6,2.49,Stargazing,"The air is clear, perfect for stargazing."
94,8,237,Very Unhealthy,66.2,8.3,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
11,19,496,Hazardous,86.0,0.86,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
12,19,89,Moderate,51.8,2.39,Stargazing,"The air is clear, perfect for stargazing."
65,10,99,Moderate,78.8,2.1,Take a walk,Enjoy a peaceful walk in the park.
61,20,45,Good,50.0,4.83,Stargazing,"The air is clear, perfect for stargazing."
63,13,308,Hazardous,14.0,17.37,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
25,10,63,Moderate,80.6,2.9,Go for a jog,The weather is perfect for a run or jog.
36,22,298,Very Unhealthy,48.2,8.29,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
14,19,423,Hazardous,91.4,5.42,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
17,18,89,Moderate,84.2,3.59,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
49,15,117,Unhealthy for Sensitive Groups,75.2,14.76,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
78,17,0,Good,62.6,0.1,Take a walk,Enjoy a peaceful walk in the park.
78,21,10,Good,82.4,0.34,Stargazing,"The air is clear, perfect for stargazing."
11,20,26,Good,75.2,1.07,Stargazing,"The air is clear, perfect for stargazing."
81,21,39,Good,68.0,1.87,Stargazing,"The air is clear, perfect for stargazing."
52,6,5,Good,100.4,18.86,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
35,16,28,Good,73.4,4.54,Go for a jog,The weather is perfect for a run or jog.
81,12,54,Moderate,80.6,3.18,Have a picnic,The weather is great for an outdoor picnic.
89,21,43,Good,75.2,1.69,Stargazing,"The air is clear, perfect for stargazing."
62,22,417,Hazardous,80.6,1.44,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
75,21,74,Moderate,84.2,3.64,Stargazing,"The air is clear, perfect for stargazing."
26,12,81,Moderate,75.2,3.55,Have a picnic,The weather is great for an outdoor picnic.
51,19,37,Good,64.4,0.7,Stargazing,"The air is clear, perfect for stargazing."
53,18,392,Hazardous,77.0,0.78,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
8,2,474,Hazardous,17.6,3.68,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
55,19,26,Good,57.2,0.2,Stargazing,"The air is clear, perfect for stargazing."
41,2,71,Moderate,96.8,6.65,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
77,9,13,Good,53.6,4.69,Take a walk,Enjoy a peaceful walk in the park.
24,4,380,Hazardous,96.8,11.03,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
21,10,94,Moderate,80.6,4.32,Go for a jog,The weather is perfect for a run or jog.
82,8,58,Moderate,50.0,2.81,Take a walk,Enjoy a peaceful walk in the park.
53,8,89,Moderate,80.6,1.49,Go for a jog,The weather is perfect for a run or jog.
62,21,496,Hazardous,15.8,11.83,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
26,8,78,Moderate,71.6,1.31,Go for a jog,The weather is perfect for a run or jog.
51,19,70,Moderate,55.4,1.47,Stargazing,"The air is clear, perfect for stargazing."
14,13,284,Very Unhealthy,91.4,11.25,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
38,3,283,Very Unhealthy,59.0,7.87,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
